sl,email,category
41,"Subject: Request for Product Recall Information Hello Customer Service, I recently purchased [Product Name] and heard about potential safety concerns related to similar products. Can you please provide information about whether the product I purchased is affected by any recalls? Thank you, [Your Name]",customer concern
42,"Subject: Notification of Overdue Invoice Hi, This is a reminder that the invoice #123456 from [Vendor Name] is now overdue. Please follow up with the vendor to ensure prompt payment. Regards, [Your Name]",accounting
43,"Subject: Difficulty in Redeeming Promotional Offer Hello Support Team, I'm having trouble redeeming a promotional offer that was advertised on your website. The promo code is not being recognized, and I'm unable to proceed with the purchase. Can you please assist me in resolving this issue? Regards, [Your Name]",customer concern
44,"Subject: Expense Approval Request for [Project Name] Hi, I need your approval on the attached expense report for [Project Name]. Please review it and provide your authorization. Thanks, [Your Name]",accounting
45,"Subject: Payroll Update Dear Team, Please be advised that the payroll for this month has been processed. You can access your pay stubs through the employee portal. Best regards, [Your Name]",accounting
46,"Subject: Unsatisfactory Product Performance Hi Customer Service, I recently purchased [Product Name], but I'm unsatisfied with its performance. Despite following the instructions, the product does not meet my expectations. Can you please advise on how to proceed with a return or exchange? Thank you, [Your Name]",customer concern
47,"Subject: Health and Wellness Workshop Registration Hi All, Registration for the upcoming health and wellness workshop is now open. Please sign up using the link provided in the attached flyer. Regards, [Your Name]",hr department
48,"Subject: Annual Performance Appraisal Schedule Announcement Dear Team, We will be initiating the annual performance appraisal process next month. Please review the attached schedule for important dates and deadlines. Best regards, [Your Name]",hr department
49,"Subject: Audit Preparation Checklist Team, Attached is the audit preparation checklist for our upcoming audit. Please review it and ensure all necessary documents and procedures are in place. Regards, [Your Name]",accounting
50,"Subject: Shipping Address Correction Needed Hello, I placed an order [Order Number] with the shipping address [Incorrect Address], but I need to update it to [Correct Address]. Can you please ensure that the shipping address is corrected before the order is shipped? Regards, [Your Name]",customer concern
51,"Subject: Difficulty in Accessing Account Statement Dear Support Team, I'm having trouble accessing my account statement through the online portal. Whenever I try to view it, I encounter [specific issue]. Can you please assist me in accessing my account statement? Thank you, [Your Name]",
52,"Subject: Quarterly Budget Variance Analysis Dear Team, Please find attached the quarterly budget variance analysis report. Review it and identify any areas that require attention. Best regards, [Your Name]",accounting
53,"Subject: Unauthorized Account Access Detected Hi Security Team, I received a notification about unauthorized access to my account. I did not log in from the location specified in the notification. Can you please investigate this security breach and take appropriate action to secure my account? Regards, [Your Name]",customer concern
54,"Subject: Petty Cash Replenishment Request Hi, Our petty cash fund needs replenishment. Please review the attached reconciliation report and approve the requested amount. Thanks, [Your Name]",accounting
55,"Subject: Training Needs Assessment Survey Hi Team, We're conducting a training needs assessment to identify learning opportunities within the organization. Please complete the survey linked in this email. Regards, [Your Name]",hr department
56,"Subject: Product Recall Information Request Hello, I recently purchased [Product Name], and I heard about a product recall related to similar products. Can you please provide information about whether the product I purchased is affected by the recall? Thank you, [Your Name]",customer concern
57,"Subject: Monthly Depreciation Schedule Team, Attached is the monthly depreciation schedule for our fixed assets. Review it and ensure accuracy. Regards, [Your Name]",accounting
58,"Subject: Delayed Response from Technical Support Hi Management, I submitted a technical support request [Ticket Number] several days ago, but I have not received a response yet. The issue I'm experiencing is causing significant inconvenience, and I would appreciate a prompt resolution. Regards, [Your Name]",customer concern
59,"Subject: Reminder: Tax Filing Extension Deadline Hi All, Just a reminder that the deadline for filing tax extensions is approaching. Please submit the necessary forms if applicable. Regards, [Your Name]",accounting
60,"Subject: Update: Dress Code Policy Revision Hello Everyone, We've made revisions to our dress code policy based on employee feedback. Please review the updated policy attached to this email. Regards, [Your Name]",hr department
61,"Subject: Unsatisfactory Resolution to Previous Complaint Hi Management, I previously submitted a complaint regarding [Issue Description], but I'm dissatisfied with the resolution provided. The problem still persists, and I would like a more satisfactory resolution to this matter. Regards, [Your Name]",customer concern
62,"Subject: Incomplete Order Received Dear Customer Support, I received my order today, but unfortunately, some items were missing from the shipment. The packing slip indicated that all items should have been included, but [specific items] were not included. Can you please ship the missing items separately? Regards, [Your Name]",customer concern
63,"Subject: Travel Expense Policy Update Team, Please be advised that we have updated our travel expense policy. Review the attached document for the latest guidelines. Regards, [Your Name]",accounting
64,"Subject: Retirement Planning Seminar Announcement Hello, We will be hosting a retirement planning seminar next month. Save the date and stay tuned for more details. Thanks, [Your Name]",hr department
65,"Subject: Wellness Challenge Announcement Hi, We're excited to announce the launch of our company-wide wellness challenge. Details on how to participate are included in the attached flyer. Thanks, [Your Name]",hr department
66,"Subject: Difficulty in Completing Online Purchase Dear Support Team, I'm experiencing difficulties completing an online purchase on your website. Whenever I try to proceed to checkout, I encounter [specific issue]. Can you please assist me in completing my purchase? Regards, [Your Name]",customer concern
67,"Subject: Accounts Payable Aging Report Hi All, Attached is the accounts payable aging report as of [Date]. Please review it and follow up on any outstanding invoices. Regards, [Your Name]",accounting
68,"Subject: Website Error Encountered Hello IT Team, I encountered an error while browsing your website. Whenever I try to [specific action], I receive [error message]. Can you please investigate and resolve this issue? Thank you, [Your Name]",customer concern
69,"Subject: Year-End Financial Review Meeting Hello Team, We will be holding a year-end financial review meeting on [Date] at [Time]. Please mark your calendars accordingly. Thanks, [Your Name]",accounting
70,"Subject: Request for Product Warranty Information Hi, I recently purchased [Product Name] and would like to inquire about the warranty coverage. Can you please provide information about the warranty duration and any terms and conditions that apply? Thank you, [Your Name]",customer concern
71,"Subject: Vendor Contract Renewal Confirmation Hello, I am pleased to confirm the renewal of our contract with [Vendor Name]. Please see the attached document for details. Thanks, [Your Name]",accounting
72,"Subject: Difficulty in Updating Account Information Hello Support Team, I've been trying to update my account information, but I'm unable to do so through the website. Whenever I try to make changes, I encounter [specific issue]. Can you please assist me in updating my account details? Regards, [Your Name]",customer concern
73,"Subject: Unauthorized Subscription Renewal Hi Finance Department, I noticed a charge on my credit card statement for the renewal of a subscription that I did not authorize. Can you please cancel the subscription and issue a refund for the unauthorized charge? Thank you, [Your Name]",customer concern
74,"Subject: New Budget Allocation Request Hello, I would like to request a new budget allocation for [Project Name]. Please see the attached proposal for your review. Thanks, [Your Name]",accounting
75,"Subject: Request for Assistance with Product Setup Hello Customer Service, I recently purchased [Product Name], but I'm having trouble setting it up. The instructions provided are unclear, and I'm unable to proceed. Can you please provide assistance or more detailed instructions? Regards, [Your Name]",customer concern
76,"Subject: Update: Maternity/Paternity Leave Policy Revision Hello, We've made revisions to our maternity/paternity leave policy. Please review the updated policy attached to this email. Regards, [Your Name]",hr department
77,"Subject: Employee Survey Feedback Summary Hi Team, Thank you to everyone who participated in the recent employee survey. Attached is a summary of the feedback received and the action items identified. Regards, [Your Name]",hr department
78,"Subject: Invoice Approval Request Hi, I need your approval on the attached invoice from [Vendor Name]. Please review it and let me know if it's okay to proceed with payment. Regards, [Your Name]",accounting
79,"Subject: Update: Paid Time Off Policy Revision Hi Team, We've made revisions to our paid time off (PTO) policy. Please review the updated policy attached to this email. Regards, [Your Name]",hr department
80,"Subject: New Employee Orientation Schedule Dear [Employee Name], Welcome to the team! Attached is your orientation schedule outlining your first week with us. We're excited to help you get settled in. Best regards, [Your Name]",hr department
81,"Subject: Diversity and Inclusion Survey Reminder Hi, Just a reminder to complete the diversity and inclusion survey if you haven't already done so. Your feedback is valuable in shaping our initiatives. Thanks, [Your Name]",hr department
82,"Subject: Employee Assistance Program (EAP) Resources Hello Everyone, As part of our commitment to employee well-being, we offer access to the Employee Assistance Program (EAP). Please see the attached brochure for details on available resources. Regards, [Your Name]",hr department
83,"Subject: Retirement Farewell Party Announcement Hi Everyone, Please join us in bidding farewell to [Retiring Employee Name] at a retirement party on [Date] at [Time]. Details attached. Regards, [Your Name]",hr department
84,"Subject: Request for Paid Time Off (PTO) Approval Hi, I would like to request approval for [Number of Days] of paid time off (PTO) from [Start Date] to [End Date]. Please review and approve my request. Thanks, [Your Name]",hr department
85,"Subject: Account Closure Confirmation Hello, This is to confirm the closure of the account [Account Number]. Please let me know if you need any further assistance. Thanks, [Your Name]",accounting
86,"Subject: Difficulty in Accessing Customer Support Chat Dear Team, I tried to access the live chat support on your website, but I encountered difficulties connecting to a representative. Can you please ensure that the chat support feature is functioning properly? Thank you, [Your Name]",customer concern
87,"Subject: Update: Company Holiday Schedule Hi All, We've updated the company holiday schedule for the upcoming year. Please review the attached document for the revised dates. Regards, [Your Name]",hr department
88,"Subject: Job Opening: Recruitment Specialist Position Dear Team, We're currently seeking a Recruitment Specialist to join our HR team. If you know someone who would be a good fit, please encourage them to apply. Regards, [Your Name]",hr department
89,"Subject: Reconciliation Report for [Month/Year] Dear Team, Please find attached the reconciliation report for the month of [Month/Year]. Review it thoroughly and report any discrepancies. Best regards, [Your Name]",accounting
90,"Subject: Technical Issue with Online Payment Processing Hi Support Team, I tried to make a purchase on your website, but I encountered a technical issue during the payment process. The payment was not processed successfully, and I'm unsure if my order went through. Can you please assist me in resolving this issue? Regards, [Your Name]",customer concern
91,"Subject: Employee Referral Program Reminder Hi Team, Just a friendly reminder about our employee referral program. If you refer a candidate who gets hired, you may be eligible for a referral bonus. Regards, [Your Name]",hr department
92,"Subject: Reminder: Quarterly Tax Payments Hi Team, Just a reminder that quarterly tax payments are due by the end of the month. Please ensure prompt payment to avoid penalties. Regards, [Your Name]",accounting
93,"Subject: Unsatisfactory Product Packaging Hello Customer Service, I recently received my order, but I'm disappointed with the packaging. The items were not adequately protected, and some of them arrived damaged. Can you please ensure better packaging in future orders? Thank you, [Your Name]",customer concern
94,"Subject: Request for Refund Status Update Hi Finance Department, I submitted a request for a refund [Refund Request Number] several days ago, but I have not received any updates on its status. Can you please provide me with an update on when I can expect to receive the refund? Regards, [Your Name]",customer concern
95,"Subject: Harassment Prevention Training Announcement Hi Everyone, We will be conducting harassment prevention training sessions next week. Attendance is mandatory for all employees. Thanks, [Your Name]",hr department
96,"Subject: Update: Remote Work Policy Guidelines Hello, We've updated the guidelines for our remote work policy. Please review the attached document for the latest information. Regards, [Your Name]",hr department
97,"Subject: Request for Performance Improvement Plan (PIP) Meeting Hi [Employee Name], This is to inform you that a Performance Improvement Plan (PIP) meeting has been scheduled for [Date]. Please come prepared to discuss your performance goals. Best regards, [Your Name]",hr department
